doi;journal_name_json;article_title
RSCI;RSCI;RSCI
10.1051/e3sconf/202343105013;E3S Web of Conferences;Математическое моделирование собственных колебаний нагруженной пологой оболочки
10.1051/e3sconf/202337601013;E3S Web of Conferences;Без названия
10.1109/RSEMW58451.2023.10201978;Conference Proceedings - 2023 Radiation and Scattering of Electromagnetic Waves, RSEMW 2023;Анализ резонансных характеристик шестигребенчатой монопольной микрополосковой антенны
10.1109/RSEMW58451.2023.10201978;Conference Proceedings - 2023 Radiation and Scattering of Electromagnetic Waves, RSEMW 2023;О дифракции электромагнитных волн на телах с некоординатными границами
eLIBRARY;Экономический вестник республики Татарстан.;Без названия
10.1007/978-3-031-33159-6_16;Springer Nature Switzerland;Без названия
10.1051/itmconf/20235701005;ITM Web of Conferences;Влияние размытия изображений на их радиомические характеристики первого порядка
"10.2139/ssrn.4341774
10.1007/978-3-031-16075-2_27";"SSRN
International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices, EDM, 2023.";"Плотности фрактальной интерполяции
Проектирование и разработка исследовательской интегрированной геоинформационной системы с нечеткой экспертной системой"
10.1109/EDM58354.2023.10225243;International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices, EDM, 2023.;Разработка прототипа интеллектуальной системы анализа метеорологических данных с использованием технологий Интернета вещей
10.1109/EDM58354.2023.10225207;International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices, EDM, 2023.;Образовательная интеллектуальная система для анализа полимерных материалов в аддитивном производстве
https://elib.sfu-kras.ru/handle/2311/151671;Journal of Siberian Federal University - Mathematics and Physics;Математическое моделирование катодных процессов выделения цинка
https://doi.org/10.1007/978-3-031-36960-5_ 110;Lecture Notes in Networks and Systems;Математическое моделирование гетерогенных систем: инертный электрод- щелочной электролит
10.1109/SmartIndustryCon57312.2023.10110734;Proceedings - 2023 International Russian Smart Industry Conference, SmartIndustryCon 2023;Проектирование образовательной интеллектуальной системы с обработкой естественного языка на основе нечеткой логики
